,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
avg_accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.019130434782608695,0.039346881933626024
std_accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.026182794968508404,0.039637653803230276
avg_f1_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0052782558806655205,0.019167067080184626,0.039238051451806144
std_f1_score,0.0,0.0,0.0,0.0,0.0,0.0,0.010556511761331041,0.025886963032783043,0.03617024379790863
