dataset_name,mean,mice,rbfn,genrbf,ik,kpca,ppca,mpk
car_rate_0.05,0.7002060819301332,0.7002060819301332,0.0434078914300075,0.7002060819301332,0.7002328893356791,0.9357728072379996,0.8628466113763927,0.8663366004858843
car_rate_0.1,0.7002060819301332,0.7002060819301332,0.0434078914300075,0.7002060819301332,0.7002328893356791,0.9357728072379996,0.8628466113763927,0.8663366004858843
car_rate_0.2,0.7002060819301332,0.7002060819301332,0.0434078914300075,0.7002060819301332,0.7002328893356791,0.9357728072379996,0.8628466113763927,0.8663366004858843
car_rate_0.3,0.7002060819301332,0.7002060819301332,0.0434078914300075,0.7002060819301332,0.7002328893356791,0.9357728072379996,0.8628466113763927,0.8663366004858843
car_rate_0.4,0.7002060819301332,0.7002060819301332,0.0434078914300075,0.7002060819301332,0.7002328893356791,0.9357728072379996,0.8628466113763927,0.8663366004858843
car_rate_0.5,0.7002060819301332,0.7002060819301332,0.0434078914300075,0.7002060819301332,0.7002328893356791,0.9357728072379996,0.8628466113763927,0.8663366004858843
car_rate_0.6,0.7002060819301332,0.7002060819301332,0.0434078914300075,0.7002060819301332,0.7002328893356791,0.9357728072379996,0.8628466113763927,0.8663366004858843
car_rate_0.7,0.7002060819301332,0.7002060819301332,0.0434078914300075,0.7002060819301332,0.7002328893356791,0.9357728072379996,0.8628466113763927,0.8663366004858843
car_rate_0.8,0.7002060819301332,0.7002060819301332,0.0434078914300075,0.7002060819301332,0.7002328893356791,0.9357728072379996,0.8628466113763927,0.8663366004858843
breast_rate_0.05,0.7026618269812462,0.7026618269812462,0.5699334543254688,0.7026618269812462,0.7027828191167573,0.7131881427707198,0.7027828191167573,0.7169993950393225
breast_rate_0.1,0.7026618269812462,0.7026618269812462,0.5699334543254688,0.7026618269812462,0.7027828191167573,0.7131881427707198,0.7027828191167573,0.7169993950393225
breast_rate_0.2,0.7026618269812462,0.7026618269812462,0.5699334543254688,0.7026618269812462,0.7027828191167573,0.7131881427707198,0.7027828191167573,0.7169993950393225
