dataset_name,mean,mice,rbfn,genrbf,ik,kpca,ppca,mpk
car_rate_0.05,0.9195627041970345,0.9195627041970345,0.04282818128508,0.7002328893356791,0.7002328893356791,0.9369154728993884,0.8674625115188072,0.875576778084946
car_rate_0.1,0.9195627041970345,0.9195627041970345,0.04282818128508,0.7002328893356791,0.7002328893356791,0.9369154728993884,0.8674625115188072,0.875576778084946
car_rate_0.2,0.9195627041970345,0.9195627041970345,0.04282818128508,0.7002328893356791,0.7002328893356791,0.9369154728993884,0.8674625115188072,0.875576778084946
car_rate_0.3,0.9195627041970345,0.9195627041970345,0.04282818128508,0.7002328893356791,0.7002328893356791,0.9369154728993884,0.8674625115188072,0.875576778084946
car_rate_0.4,0.9195627041970345,0.9195627041970345,0.04282818128508,0.7002328893356791,0.7002328893356791,0.9369154728993884,0.8674625115188072,0.875576778084946
car_rate_0.5,0.9195627041970345,0.9195627041970345,0.04282818128508,0.7002328893356791,0.7002328893356791,0.9369154728993884,0.8674625115188072,0.875576778084946
car_rate_0.6,0.9195627041970345,0.9195627041970345,0.04282818128508,0.7002328893356791,0.7002328893356791,0.9369154728993884,0.8674625115188072,0.875576778084946
car_rate_0.7,0.9195627041970345,0.9195627041970345,0.04282818128508,0.7002328893356791,0.7002328893356791,0.9369154728993884,0.8674625115188072,0.875576778084946
car_rate_0.8,0.9195627041970345,0.9195627041970345,0.04282818128508,0.7002328893356791,0.7002328893356791,0.9369154728993884,0.8674625115188072,0.875576778084946
breast_rate_0.05,0.6958257713248639,0.7097398669086509,0.5624319419237749,0.7027828191167573,0.7027828191167573,0.720205686630369,0.7167574107683,0.6889897156684816
breast_rate_0.1,0.6958257713248639,0.7097398669086509,0.5624319419237749,0.7027828191167573,0.7027828191167573,0.720205686630369,0.7167574107683,0.6889897156684816
breast_rate_0.2,0.6958257713248639,0.7097398669086509,0.5624319419237749,0.7027828191167573,0.7027828191167573,0.720205686630369,0.7167574107683,0.6889897156684816
breast_rate_0.3,0.6958257713248639,0.7097398669086509,0.5624319419237749,0.7027828191167573,0.7027828191167573,0.720205686630369,0.7167574107683,0.6889897156684816
breast_rate_0.4,0.6958257713248639,0.7097398669086509,0.5624319419237749,0.7027828191167573,0.7027828191167573,0.720205686630369,0.7167574107683,0.6889897156684816
