classifier_name,dataset_name,accuracy
mice,breast_rate_60,0.7027828191167573
rbfn,breast_rate_60,0.0
genrbf,breast_rate_60,0.0
em,breast_rate_60,0.7027828191167573
kpca,breast_rate_60,0.6885057471264366
ppca,breast_rate_60,0.7027828191167573
mpk,breast_rate_60,0.7236539624924381
mean,breast_rate_70,0.7027828191167573
mice,breast_rate_70,0.7027828191167573
rbfn,breast_rate_70,0.0
genrbf,breast_rate_70,0.0
em,breast_rate_70,0.7027828191167573
kpca,breast_rate_70,0.6885057471264366
ppca,breast_rate_70,0.7027828191167573
mpk,breast_rate_70,0.7236539624924381
mean,breast_rate_80,0.7027828191167573
mice,breast_rate_80,0.7027828191167573
rbfn,breast_rate_80,0.0
genrbf,breast_rate_80,0.0
em,breast_rate_80,0.7027828191167573
kpca,breast_rate_80,0.6885057471264366
ppca,breast_rate_80,0.7027828191167573
mpk,breast_rate_80,0.7236539624924381
mean,australian_rate_5,0.673913043478261
mice,australian_rate_5,0.6695652173913043
rbfn,australian_rate_5,0.0014492753623188
genrbf,australian_rate_5,0.4797101449275362
em,australian_rate_5,0.655072463768116
kpca,australian_rate_5,0.5521739130434783
ppca,australian_rate_5,0.655072463768116
mpk,australian_rate_5,0.8565217391304347
mean,australian_rate_10,0.673913043478261
mice,australian_rate_10,0.6695652173913043
rbfn,australian_rate_10,0.0014492753623188
genrbf,australian_rate_10,0.4797101449275362
em,australian_rate_10,0.655072463768116
kpca,australian_rate_10,0.5521739130434783
ppca,australian_rate_10,0.655072463768116
mpk,australian_rate_10,0.8565217391304347
mean,australian_rate_20,0.673913043478261
mice,australian_rate_20,0.6695652173913043
rbfn,australian_rate_20,0.0014492753623188
genrbf,australian_rate_20,0.4797101449275362
em,australian_rate_20,0.655072463768116
kpca,australian_rate_20,0.5521739130434783
ppca,australian_rate_20,0.655072463768116
mpk,australian_rate_20,0.8565217391304347
mean,australian_rate_30,0.673913043478261
mice,australian_rate_30,0.6695652173913043
rbfn,australian_rate_30,0.0014492753623188
genrbf,australian_rate_30,0.4797101449275362
em,australian_rate_30,0.655072463768116
kpca,australian_rate_30,0.5521739130434783
ppca,australian_rate_30,0.655072463768116
mpk,australian_rate_30,0.8565217391304347
mean,australian_rate_40,0.673913043478261
mice,australian_rate_40,0.6695652173913043
rbfn,australian_rate_40,0.0014492753623188
genrbf,australian_rate_40,0.4797101449275362
em,australian_rate_40,0.655072463768116
kpca,australian_rate_40,0.5521739130434783
ppca,australian_rate_40,0.655072463768116
mpk,australian_rate_40,0.8565217391304347
mean,australian_rate_50,0.673913043478261
mice,australian_rate_50,0.6695652173913043
rbfn,australian_rate_50,0.0014492753623188
genrbf,australian_rate_50,0.4797101449275362
em,australian_rate_50,0.655072463768116
kpca,australian_rate_50,0.5521739130434783
ppca,australian_rate_50,0.655072463768116
mpk,australian_rate_50,0.8565217391304347
mean,australian_rate_60,0.673913043478261
mice,australian_rate_60,0.6695652173913043
rbfn,australian_rate_60,0.0014492753623188
genrbf,australian_rate_60,0.4797101449275362
em,australian_rate_60,0.655072463768116
kpca,australian_rate_60,0.5521739130434783
ppca,australian_rate_60,0.655072463768116
mpk,australian_rate_60,0.8565217391304347
mean,australian_rate_70,0.673913043478261
mice,australian_rate_70,0.6695652173913043
rbfn,australian_rate_70,0.0014492753623188
genrbf,australian_rate_70,0.4797101449275362
em,australian_rate_70,0.655072463768116
kpca,australian_rate_70,0.5521739130434783
ppca,australian_rate_70,0.655072463768116
mpk,australian_rate_70,0.8565217391304347
mean,australian_rate_80,0.673913043478261
mice,australian_rate_80,0.6695652173913043
rbfn,australian_rate_80,0.0014492753623188
genrbf,australian_rate_80,0.4797101449275362
em,australian_rate_80,0.655072463768116
kpca,australian_rate_80,0.5521739130434783
ppca,australian_rate_80,0.655072463768116
mpk,australian_rate_80,0.8565217391304347
mean,heart_rate_5,0.5412568306010929
mice,heart_rate_5,0.5412568306010929
rbfn,heart_rate_5,0.0
genrbf,heart_rate_5,0.5412568306010929
em,heart_rate_5,0.5412568306010929
kpca,heart_rate_5,0.5412568306010929
ppca,heart_rate_5,0.5412568306010929
mpk,heart_rate_5,0.5908743169398907
mean,heart_rate_10,0.5412568306010929
mice,heart_rate_10,0.5412568306010929
rbfn,heart_rate_10,0.0
genrbf,heart_rate_10,0.5412568306010929
em,heart_rate_10,0.5412568306010929
kpca,heart_rate_10,0.5412568306010929
ppca,heart_rate_10,0.5412568306010929
mpk,heart_rate_10,0.5908743169398907
mean,heart_rate_20,0.5412568306010929
mice,heart_rate_20,0.5412568306010929
rbfn,heart_rate_20,0.0
genrbf,heart_rate_20,0.5412568306010929
