,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
avg_accuracy,0.4797101449275362,0.4971014492753623,0.5,,,,,,
std_accuracy,0.0421038812937216,0.037958843054228385,0.027877368205320798,,,,,,
avg_f1_score,0.47839495292335127,0.48621525900916096,0.4777995590092566,,,,,,
std_f1_score,0.04270136323486399,0.039009461302390476,0.03237196444736083,,,,,,
