MissingRate,F1_Score,Accuracy
0.05,0.8495271666003372,0.85
0.1,0.8848151805404694,0.885
0.3,0.8545571183120815,0.8550000000000001
0.5,0.7881645524979161,0.79
0.7,0.6282342033946655,0.6300000000000001
0.9,0.5835906282625862,0.595
