,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
avg_accuracy,0.41452593917710195,,,,,,,,
std_accuracy,0.021145900469492548,,,,,,,,
avg_f1_score,0.18035994391894555,,,,,,,,
std_f1_score,0.009701294018457096,,,,,,,,
